CODI Sistema;Nom del sistema/EDAR;Codi_municipi;Municipi EDAR;Comarca;Província;Conca;Administració actuant;Empresa explotadora;Any posada en marxa;Any ampliació;Tipus de tractament;"Cabal de disseny
 (m³/dia)";"Població de disseny 
(h-e)";"F. sèptiques
(Nre.)";"Bombaments
(Nre.)";"Col·lectors
(km)";"Emissaris
(Nre.)";"Emissaris
(km)";Municipis assistits;Fitlre;Punt d'abocament;Homes;Dones;Total
DAGE;ÀGER;250024;Àger;Noguera;Lleida;La Noguera Pallaresa;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2012;NA;Biològic;460,00;2300;0;0;1,20;0;0,00;ÀGER;1;riu Fred de Pui;320;268;588
DAGR;AGRAMUNT;250030;Agramunt;Urgell;Lleida;El Segre;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;1995;NA;Biològic amb eliminació de Nitrogen i Fòsfor;2700,00;18000;0;1;3,50;0;0,00;AGRAMUNT;1;RIU SIÓ;2689;2682;5371
DAGL;AGULLANA;170010;Agullana;Alt Empordà;Girona;La Muga;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2006;NA;Biològic amb eliminació de Nitrogen;203,50;1000;0;0;NA;0;0,00;AGULLANA (Agullana);1;Riera del Gou (Muga);411;420;831
DALE;ALBESA;250083;Albesa;Noguera;Lleida;La Noguera Ribagorçana;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2009;NA;Biològic;630,00;4347;0;0;1,11;0;0,00;ALBESA;1;RIU NOGUERA RIBAGORÇANA;855;701;1556
DALS;ALCARRÀS;250117;Alcarràs;Segrià;Lleida;El Segre;Agència Catalana de l'Aigua;SIM RUBATEC, S.A.-M. Y J. GRUAS, S.A. UTE;2001;NA;Biològic;1680,00;6440;0;0;0,57;0;0,00;ALCARRÀS;1;RIU SEGRE;4957;4557;9514
DALX;ALEIXAR;430075;Aleixar, l';Baix Camp;Tarragona;Rieres de la costa entre Cunit i Vandellòs i l'Hospitalet de l'Infant;Consell Comarcal del Baix Camp;COMAIGUA, SL;2016;NA;Biològic;360,00;1440;0;0;0,88;0;0,00;Aleixar;1;Riera de la Mussara;450;423;873
DAFC;ALFARA DE CARLES;430081;Alfara de Carles;Baix Ebre;Tarragona;L'Ebre;Consell Comarcal del Baix Ebre;ACCIONA AGUA, S.A.U.;2010;NA;Biològic;115,00;383;0;0;0,94;0;0,00;ALFARA DE CARLES;1;barranc del Llop;199;178;377
DALF;ALFÉS;250143;Alfés;Segrià;Lleida;El Segre;Agència Catalana de l'Aigua;SIM RUBATEC, S.A.-M. Y J. GRUAS, S.A. UTE;2002;NA;Llacunatge;15,00;NA;1;0;0,12;0;0,00;ALFÉS;1;DESGUÀS LA SECLETA;162;150;312
DALGR;ALGERRI;250156;Algerri;Noguera;Lleida;La Noguera Ribagorçana;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2011;NA;Biològic;125,00;710;0;0;0,47;0;0,00;ALGERRI;1;BARRANC DE LA SISQUELLA;206;180;386
DALN;ALINS;250175;Alins;Pallars Sobirà;Lleida;La Noguera Pallaresa;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2010;NA;Biològic;120,00;600;0;0;0,43;0;0,00;ALINS;1;RIU DE LA NOGUERA VALLFERRERA;144;132;276
DAREU;ÀREU;250175;Alins;Pallars Sobirà;Lleida;La Noguera Pallaresa;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2010;NA;Biològic;120,00;600;0;0;0,06;0;0,00;ALINS (Àreu);1;RIU DE LA NOGUERA VALLFERRERA;144;132;276
DALIO;ALIÓ;430108;Alió;Alt Camp;Tarragona;El Francolí;Ajuntament Alió;AJUNTAMENT ALIÓ;2013;NA;Llacunatge;100,50;419;2;0;NA;0;0,00;ALIÓ;1;barranc Fonollosa;208;231;439
DALM;ALMACELLES;250194;Almacelles;Segrià;Lleida;El Segre;Agència Catalana de l'Aigua;SIM RUBATEC, S.A.-M. Y J. GRUAS, S.A. UTE;2001;NA;Biològic amb eliminació de Nitrogen i Fòsfor;1985,00;9660;0;0;2,55;0;0,00;ALMACELLES;1;CLAMOR AMARGA;3584;3207;6791
DAMTN;ALMATRET SECTOR NORD;250208;Almatret;Segrià;Lleida;L'Ebre;Agència Catalana de l'Aigua;SIM RUBATEC, S.A.-M. Y J. GRUAS, S.A. UTE;2002;NA;Llacunatge;25,00;104;1;0;0,20;0;0,00;ALMATRET;1;PARTIDA DE LES FRANQUESES;172;135;307
DAMTS;ALMATRET SECTOR SUD;250208;Almatret;Segrià;Lleida;L'Ebre;Agència Catalana de l'Aigua;SIM RUBATEC, S.A.-M. Y J. GRUAS, S.A. UTE;2002;NA;Llacunatge;57,00;373;1;0;0,07;0;0,00;ALMATRET;1;PARTIDA BASSES ROIJES;172;135;307
DALP;ALP;170062;Alp;Cerdanya;Girona;El Segre;Consell Comarcal de la Cerdanya;ACSA-SAV-DAM (UTE EDAR LA CERDANYA);2004;NA;Biològic;2000,00;8333;0;1;0,55;1;0,10;ALP (Alp);1;Ribera d'Alp;828;752;1580
DALPE;ALPENS;080044;Alpens;Osona;Barcelona;El Llobregat;Consell Comarcal d'Osona;Depuradores d'Osona;1999;NA;Biològic;200,00;833;0;0;0,92;0;0,00;ALPENS (Alpens);1;Riera d'Alpens;144;122;266
DANG;ANGLÈS;170084;Anglès;Selva;Girona;El Ter;Consell Comarcal de la Selva;ACCIONA AGUA, S.A.U.;2003;2016;Biològic amb eliminació de Nitrogen i Fòsfor;4500,00;24150;0;0;0,80;0;0,00;ANGLÈS;1;Rec (al costat de l'EDAR), riu Ter;2780;2819;5599
DARB;ARBECA;250292;Arbeca;Garrigues;Lleida;El Segre;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2012;NA;Biològic amb eliminació de Nitrogen;900,00;3000;0;0;2,13;0;0,00;ARBECA;1;desguàs lo Reguer;1100;1044;2144
DARNE;ARNES;430189;Arnes;Terra Alta;Tarragona;L'Ebre;Agència Catalana de l'Aigua;SERVEIS INTEGRALS DE MANTENIMENT RUBATEC, SA;1996;NA;Llacunatge;324,00;1305;0;0;1,04;0;0,00;ARNES (Arnes);1;Riu Algars;224;231;455
DARS;ARTESA DE SEGRE;250349;Artesa de Segre;Noguera;Lleida;El Segre;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2005;NA;Biològic amb eliminació de Nitrogen i Fòsfor;862,00;3203;0;0;2,36;0;0,00;ARTESA DE SEGRE;1;RIU SENILL;1766;1666;3432
DASC;ASCÓ;430192;Ascó;Ribera d'Ebre;Tarragona;L'Ebre;Agència Catalana de l'Aigua;SERVEIS INTEGRALS DE MANTENIMENT RUBATEC, SA;2008;NA;Biològic amb eliminació de Nitrogen;750,00;5250;0;3;1,12;0;0,00;ASCÓ (Ascó);1;Riu Ebre;856;804;1660
DAVI;AVINYÓ;080121;Avinyó;Bages;Barcelona;El Llobregat;Agència Catalana de l'Aigua;CADAGUA;2002;NA;Biològic amb eliminació de Nitrogen i Fòsfor;648,00;4320;0;1;3,90;0;0,00;AVINYÓ (Avinyó);1;Riera Gavarresa;1127;1148;2275
DSUC;CANTALLOPS;080137;Avinyonet del Penedès;Alt Penedès;Barcelona;Rieres del Garraf;Mancomunitat Penedès-Garraf;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2018;NA;Tractament extensiu;100,00;500;2;0;0,33;0;0,00;Avinyonet del Penedès i Subirats;1;Riera dels Pelagons;903;798;1701
DBPGS;GERRI DE LA SAL;250390;Baix Pallars;Pallars Sobirà;Lleida;La Noguera Pallaresa;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2010;NA;Biològic;140,00;700;0;2;0,30;0;0,00;BAIX PALLARS (Gerri de la Sal);1;NOGUERA PALLARESA;182;153;335
DBLS;BALSARENY;080180;Balsareny;Bages;Barcelona;El Llobregat;Ajuntament Balsareny;SOCIEDAD GENERAL DE AGUAS DE BARCELONA, SA;1991;NA;Biològic;1500,00;9375;0;0;2,90;0;0,00;BALSARENY (Balsareny);1;Riu Llobregat;1562;1597;3159
DBAS;BÀSCARA;170160;Bàscara;Alt Empordà;Girona;El Fluvià;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;1997;NA;Biològic;250,00;625;0;0;0,30;0;0,00;BÀSCARA(Bàscara);1;Riu Fluvià;520;484;1004
DBAT;BATEA;430228;Batea;Terra Alta;Tarragona;L'Ebre;Agència Catalana de l'Aigua;SERVEIS INTEGRALS DE MANTENIMENT RUBATEC, SA;2003;NA;Biològic amb eliminació de Nitrogen;555,00;3700;0;0;0,10;0;0,00;BATEA (Batea);1;Barranc de la Vall Major;944;946;1890
DBLL;BELL-LLOC D'URGELL;250485;Bell-Lloc d'Urgell;Pla d'Urgell;Lleida;El Segre;Consell Comarcal del Pla d'Urgell;UTE DEPURPLA 2;2002;NA;Biològic;2400,00;4000;0;1;2,09;0;0,00;BELL-LLOC D'URGELL;1;RIU LES CANALS;1139;1176;2315
DBEL;BELLAGUARDA;251706;Bellaguarda;Garrigues;Lleida;El Segre;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2009;NA;Biològic amb eliminació de Nitrogen;70,00;554;0;0;0,78;0;0,00;BELLAGUARDA;1;SÈQUIA DE LA VALL DE SANT PERE;152;135;287
DBLM;BELLMUNT DEL PRIORAT;430234;Bellmunt del Priorat;Priorat;Tarragona;L'Ebre;Agència Catalana de l'Aigua;SERVEIS INTEGRALS DE MANTENIMENT RUBATEC, SA;2009;NA;Biològic;85,00;538;0;3;2,46;0;0,00;BELLMUNT DEL PRIORAT (Bellmunt del Priorat);1;Barranc de Fontbella ( Riu Siurana);145;135;280
DBLP;BELLPUIG;250501;Bellpuig;Urgell;Lleida;El Segre;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;1996;2007;Biològic;1725,00;10494;0;0;2,60;0;0,00;BELLPUIG;1;RIU CORB;2705;2428;5133
DBLV;BELLVEI;430249;Bellvei;Baix Penedès;Tarragona;Rieres de la costa entre Cunit i Vandellòs i l'Hospitalet de l'Infant;Consell Comarcal del Baix Penedès;REMONDIS AGUA, S.A.U;1994;NA;Biològic;400,00;2167;0;0;0,27;0;0,00;BELLVEI (Bellvei);1;Torrent de la Palliseta;1132;1071;2203
DBVI;BELLVÍS;250523;Bellvís;Pla d'Urgell;Lleida;El Segre;Consell Comarcal del Pla d'Urgell;UTE DEPURPLA 2;2003;NA;Biològic;1141,00;2966;0;1;1,99;0;0,00;BELLVIS;1;SÈQUIA DEL MOLÍ;1149;1106;2255
DBNF;BENIFALLET;430252;Benifallet;Baix Ebre;Tarragona;L'Ebre;Consell Comarcal del Baix Ebre;ACCIONA AGUA, S.A.U.;2010;NA;Biològic amb eliminació de Nitrogen;285,00;1615;0;2;1,87;0;0,00;BENIFALLET;1;riu Ebre;348;391;739
DBER;BERGA;080229;Berga;Berguedà;Barcelona;El Llobregat;Consell Comarcal del Berguedà;AQUAMBIENTE SERVICIOS PARA EL SECTOR DEL AGUA SAU;1995;2016;Biològic;8300,00;41500;0;1;5,00;0;0,00;BERGA (Berga);1;Riu Llobregat;8166;8328;16494
DBES;BESALÚ;170195;Besalú;Garrotxa;Girona;El Fluvià;Consell Comarcal de la Garrotxa;AQUAMBIENTE SERVICIOS PARA EL SECTOR DEL AGUA SAU;1995;NA;Biològic amb eliminació de Nitrogen;648,00;3520;0;2;1,00;0;0,00;BESALÚ (Besalú);1;Riu Fluvià;1170;1322;2492
DBCNM;MAS LLUNÉS;170209;Bescanó;Gironès;Girona;El Ter;Ajuntament Bescanó;PROVEÏMENTS D'AIGUA, S.A. (PRODAISA);2014;NA;Biològic;400,00;2000;0;0;1,91;0;0,00;BESCANÓ (urbanització Mas Llunés);1;NA;2505;2455;4960
DBSC;BESCANÓ;170209;Bescanó;Gironès;Girona;El Ter;Ajuntament Bescanó;REMONDIS AGUA, S.A.U;2006;NA;Biològic amb eliminació de Nitrogen;600,00;3430;0;2;1,30;0;0,00;BESCANÓ(Bescanó, Urbanització Montfullà);1;Riu Ter;2505;2455;4960
DBED;BEUDA;170216;Beuda;Garrotxa;Girona;El Fluvià;Consell Comarcal de la Garrotxa;AQUAMBIENTE SERVICIOS PARA EL SECTOR DEL AGUA SAU;2010;NA;Biològic;30,00;120;0;0;0,10;0;0,00;BEUDA (Beuda);1;Riera Capellades;100;90;190
DBOL;BOLVIR;170242;Bolvir;Cerdanya;Girona;El Segre;Consell Comarcal de la Cerdanya;ACSA-SAV-DAM (UTE EDAR LA CERDANYA);2000;NA;Biològic;750,00;2000;0;0;1,20;1;0,03;BOLVIR (Bolvir);1;Torrent dels Estanys;191;178;369
DSJBB;BONMATÍ;179032;Sant Julià del Llor i Bonmatí;Selva;Girona;El Ter;Agència Catalana de l'Aigua;UTE PSARU TER-DARÓ (ACSA AGBAR CONSTRUCCIÓN, SA.-SOREA, SA.-CONST. DE CALAF, SA);2012;NA;Biològic amb eliminació de Nitrogen i Fòsfor;242,40;1212;0;0;0,15;0;0,00;BONMATÍ;1;riu Ter;651;635;1286
DBBL;BORGES BLANQUES, LES;250582;Borges Blanques, les;Garrigues;Lleida;El Segre;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;1992;NA;Llacunatge;3840,00;8320;0;0;3,10;0;0,00;BORGES BLANQUES;1;RIERA SALAT;3105;2982;6087
DBOC;BORGES DEL CAMP;430311;Borges del Camp, les;Baix Camp;Tarragona;Rieres de la costa entre Cunit i Vandellòs i l'Hospitalet de l'Infant;Consell Comarcal del Baix Camp;COMAIGUA, SL;2018;NA;Biològic amb eliminació de Nitrogen;904,50;3882;NA;1;1,74;0;0,00;BORGES DEL CAMP;1;NA;1050;987;2037
DBOR;BORREDÀ;080240;Borredà;Berguedà;Barcelona;El Llobregat;Agència Catalana de l'Aigua;UTE PSARU LLOBREGAT NORD (OMS SACEDE, SAU-CESMED AMBIENTAL, SL);2019;NA;Biològic amb eliminació de Nitrogen;200,00;1000;0;0;0,42;0;0,00;Borredà;1;Riera Merdançol;253;192;445
DBOS;BOSSOST;250595;Bossòst;Val d'Aran;Lleida;La Garona;Conselh Generau d'Aran;UTE EDAR VALL D'ARAN (ACSA-SAV-DAM);1998;NA;Biològic;942,00;4399;0;0;0,54;0;0,00;BOSSOST;1;ARRIU GARONA;542;567;1109
DBOT;BOTARELL;430332;Botarell;Baix Camp;Tarragona;Rieres de la costa entre Cunit i Vandellòs i l'Hospitalet de l'Infant;Consell Comarcal del Baix Camp;COMAIGUA, SL;1981;NA;Biològic;200,00;810;0;0;1,25;0;0,00;BOTARELL (Botarell);1;Barranc Ànima Blanca;549;519;1068
DBOV;BOVERA;250560;Bovera;Garrigues;Lleida;L'Ebre;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2009;NA;Biològic;50,00;425;0;0;1,09;0;0,00;BOVERA;1;Vallmajor;133;114;247
DCAF;CALAF;080312;Calaf;Anoia;Barcelona;El Llobregat;Agència Catalana de l'Aigua;UTE ACSA-SAV-DAM (GRUP IGUALADA);1994;NA;Biològic amb eliminació de Nitrogen;780,00;3550;0;0;4,00;0;0,00;CALAF (Calaf);1;Riera d'Anoia;1775;1760;3535
DCPNS;CAMPINS;080399;Campins;Vallès Oriental;Barcelona;La Tordera;Consorci Besòs Tordera;ACCIONA AGUA, S.A.U.;2013;NA;Biològic amb eliminació de Nitrogen;160,00;1067;0;0;NA;0;0,00;CAMPINS;1;riera de Campins;277;252;529
DCAM;CAMPRODON;170391;Camprodon;Ripollès;Girona;El Ter;Consell Comarcal del Ripollès;CADAGUA;1994;NA;Biològic amb eliminació de Nitrogen;2531,00;12655;0;0;5,00;0;0,00;CAMPRODON (Camprodon);1;Ter;1117;1164;2281
DCÇN;CAPÇANES;430402;Capçanes;Priorat;Tarragona;L'Ebre;Agència Catalana de l'Aigua;SERVEIS INTEGRALS DE MANTENIMENT RUBATEC, SA;2016;NA;Biològic;140,00;1667;0;1;0,66;0;0,00;CAPÇANES;1;riera de Capçanes;202;196;398
DCDN;CARDONA;080478;Cardona;Bages;Barcelona;El Llobregat;Agència Catalana de l'Aigua;CADAGUA;1998;NA;Biològic amb eliminació de Nitrogen;1500,00;9375;0;5;4,00;0;0,00;CARDONA (Cardona);1;Riu Cardener;2273;2363;4636
DCSRS;CASSERRES;080497;Casserres;Berguedà;Barcelona;El Llobregat;Consell Comarcal del Berguedà;AQUAMBIENTE SERVICIOS PARA EL SECTOR DEL AGUA SAU;2001;NA;Biològic;475,00;2201;0;1;3,00;0;0,00;CASSERRES (Casserres);1;Riera Clarà;813;795;1608
DCDNH;CASTELLAR DE N'HUG;080522;Castellar de n'Hug;Berguedà;Barcelona;El Llobregat;Consell Comarcal del Berguedà;AQUAMBIENTE SERVICIOS PARA EL SECTOR DEL AGUA SAU;2005;NA;Biològic amb eliminació de Nitrogen;240,00;2000;0;4;3,00;0;0,00;CASTELLAR DE N'HUG (Castellar de N'Hug);1;Riu Llobregat;85;74;159
DCDR;CASTELLFOLLIT DE LA ROCA;170464;Castellfollit de la Roca;Garrotxa;Girona;El Fluvià;Consell Comarcal de la Garrotxa;AQUAMBIENTE SERVICIOS PARA EL SECTOR DEL AGUA SAU;1994;NA;Biològic;600,00;3000;0;2;1,00;0;0,00;CASTELLFOLLIT DE LA ROCA;1;Riu Fluvià;493;468;961
DCAST;CASTELLOLÍ;080636;Castellolí;Anoia;Barcelona;El Llobregat;Agència Catalana de l'Aigua;UTE ACSA-SAV-DAM (UTE EDAR VALLBONA);2012;NA;Biològic amb eliminació de Nitrogen;205,00;1350;0;0;0,33;0;0,00;CASTELLOLÍ;1;Llera, torrent innominat;302;317;619
DCER;CERVERA;250729;Cervera;Segarra;Lleida;El Segre;Ajuntament Cervera;EASCS SL (EMPRESA D'AIGÜES I SERVEIS DE CERVERA I LA SEGARRA, SL);1985;NA;Llacunatge amb eliminació de Fòsfor;2280,00;24434;0;2;5,83;0;0,00;CERVERA;1;RIU ONDARA;4670;4510;9180
DCDT;CERVIÀ DE TER;170502;Cervià de Ter;Gironès;Girona;El Ter;Agència Catalana de l'Aigua;AQUAMBIENTE SERVICIOS PARA EL SECTOR DEL AGUA SAU;2000;NA;Llacunatge;226,00;753;0;0;NA;0;0,00;CERVIÀ DE TER(Cervià de Ter);1;Riu Ter;492;476;968
DCOL;COLERA;170545;Colera;Alt Empordà;Girona;Rieres de la costa entre la frontera amb França i Lloret de Mar;Consorci d'Aigües Costa Brava Girona;UTE SERVICIO DE SISTEMAS DE SANEAMIENTO EN ALTA CCB-ELA;1974;1997;Biològic amb tractament Terciari;1300,00;7400;0;2;2,20;0;0,00;COLERA (Colera);1;Mar Mediterrani;223;225;448
DCBE;CORBERA D'EBRE;430483;Corbera d'Ebre;Terra Alta;Tarragona;L'Ebre;Agència Catalana de l'Aigua;SERVEIS INTEGRALS DE MANTENIMENT RUBATEC, SA;2016;NA;Biològic;190,00;1805;0;0;0,17;0;0,00;CORBERA D'EBRE;1;riu Sec;531;485;1016
DTOE;CORBINS;250788;Corbins;Segrià;Lleida;La Noguera Ribagorçana;Agència Catalana de l'Aigua;SIM RUBATEC, S.A.-M. Y J. GRUAS, S.A. UTE;2001;NA;Llacunatge;500,00;2083;0;0;1,07;0;0,00;CORBINS;1;RIU NOGUERA RIBAGORÇANA;787;657;1444
DCOR;CORNUDELLA DEL MONTSANT;430496;Cornudella de Montsant;Priorat;Tarragona;L'Ebre;Agència Catalana de l'Aigua;SERVEIS INTEGRALS DE MANTENIMENT RUBATEC, SA;2008;NA;Biològic amb eliminació de Nitrogen;190,00;1029;0;1;1,21;0;0,00;CORNUDELLA DEL MONTSANT (Cornudella del Montsant);1;Barranc de les Obagues;505;436;941
DDAS;DAS;170617;Das;Cerdanya;Girona;El Segre;Consell Comarcal de la Cerdanya;ACSA-SAV-DAM (UTE EDAR LA CERDANYA);2000;NA;Biològic;410,00;998;0;0;1,00;1;0,01;DAS (Das);1;La Valirota;131;122;253
DMLA;MILÀ, EL;430831;Milà, el;Alt Camp;Tarragona;El Francolí;Ajuntament Milà, El;Ajuntament Milà, El;2020;NA;Biològic;15,00;165;0;0;0,66;0;0,00;El Milà;1;Infiltració en el terreny;85;93;178
DGAM1;GUIAMETS, ELS;430705;Guiamets, els;Priorat;Tarragona;L'Ebre;Agència Catalana de l'Aigua;SERVEIS INTEGRALS DE MANTENIMENT RUBATEC, SA;2016;NA;Biològic;75,00;681;0;1;0,18;0;0,00;ELS GUIAMETS;1;riu de Capçanes;128;142;270
DFAL;FALSET;430555;Falset;Priorat;Tarragona;L'Ebre;Agència Catalana de l'Aigua;SERVEIS INTEGRALS DE MANTENIMENT RUBATEC, SA;1981;2000;Biològic;460,00;3082;0;0;0,32;0;0,00;FALSET (Falset);1;Barranc de la Vila;1412;1422;2834
DFAT;FATARELLA, LA;430568;Fatarella, la;Terra Alta;Tarragona;L'Ebre;Agència Catalana de l'Aigua;SERVEIS INTEGRALS DE MANTENIMENT RUBATEC, SA;2002;NA;Llacunatge;231,00;1458;0;0;1,73;0;0,00;FATARELLA (Fatarella, La);1;Barranc de Sant Francesc;458;483;941
DLFI;FIGUERA, LA;430580;Figuera, la;Priorat;Tarragona;L'Ebre;Agència Catalana de l'Aigua;SERVEIS INTEGRALS DE MANTENIMENT RUBATEC, SA;2008;NA;Biològic amb eliminació de Nitrogen;45,00;431;0;1;0,14;0;0,00;FIGUERA, LA (Figuera, La);1;Barranc de les Freixes;63;48;111
DFOL;FOLGUEROLES;080832;Folgueroles;Osona;Barcelona;El Ter;Consell Comarcal d'Osona;Depuradores d'Osona;1999;2008;Biològic;1250,00;2500;0;0;2,00;0;0,00;FOLGUEROLES (Folgueroles);1;Torrent Folgueroles;1159;1108;2267
DFCUR;VILAR D'URTX;170694;Fontanals de Cerdanya;Cerdanya;Girona;El Segre;Consell Comarcal de la Cerdanya;ACSA-SAV-DAM (UTE EDAR LA CERDANYA);1999;NA;Biològic;225,00;701;0;0;0,50;0;0,00;FONTANALS DE CERDANYA (El Vilar d'Urtx);1;Torrent d'Urtx;220;224;444
DGAL;GALERA, LA;430635;Galera, la;Montsià;Tarragona;L'Ebre;Consell Comarcal del Montsià;ACCIONA AGUA, S.A.U.;1992;NA;Tractament extensiu;300,00;1200;0;0;0,60;0;0,00;GALERA, LA (Galera, La);1;Edar verda, infiltració al terreny;375;356;731
DGAN;GANDESA;430640;Gandesa;Terra Alta;Tarragona;L'Ebre;Agència Catalana de l'Aigua;SERVEIS INTEGRALS DE MANTENIMENT RUBATEC, SA;2003;NA;Biològic amb eliminació de Nitrogen;780,00;7540;0;1;1,55;0;0,00;GANDESA (Gandesa);1;Barranc dels Horts;1563;1501;3064
DGCA;GARCIA;430653;Garcia;Ribera d'Ebre;Tarragona;L'Ebre;Agència Catalana de l'Aigua;SERVEIS INTEGRALS DE MANTENIMENT RUBATEC, SA;2017;NA;Biològic;80,00;1160;0;1;1,84;0;0,00;García;1;Riu Siurana;264;263;527
DGEL;GELIDA;080919;Gelida;Alt Penedès;Barcelona;El Llobregat;Agència Catalana de l'Aigua;CADAGUA;2000;NA;Biològic amb eliminació de Nitrogen;1440,00;7200;0;0;3,00;0;0,00;GELIDA (Gelida);1;Riu Anoia;3778;3755;7533
DGIN;GINESTAR;430672;Ginestar;Ribera d'Ebre;Tarragona;L'Ebre;Agència Catalana de l'Aigua;SERVEIS INTEGRALS DE MANTENIMENT RUBATEC, SA;2008;NA;Biològic amb eliminació de Nitrogen;200,00;917;0;1;1,50;0;0,00;GINESTAR (Ginestar);1;Riu Ebre;403;350;753
DGOD;GODALL;430688;Godall;Montsià;Tarragona;L'Ebre;Consell Comarcal del Montsià;ACCIONA AGUA, S.A.U.;2002;NA;Biològic;150,00;875;0;0;0,76;0;0,00;GODALL (Godall);1;Barranc de La Caldera;289;286;575
