CODI Sistema;Nom del sistema/EDAR;Codi_municipi;Municipi EDAR;Comarca;Província;Conca;Administració actuant;Empresa explotadora;Any posada en marxa;Any ampliació;Tipus de tractament;"Cabal de disseny
DRIU;RIUDOMS;431299;Riudoms;Baix Camp;Tarragona;Rieres de la costa entre Cunit i Vandellòs i l'Hospitalet de l'Infant;Consell Comarcal del Baix Camp;COMAIGUA, SL;1992;NA;Biològic;1000,00;8330;0;0;1,73;0;0,00;RIUDOMS (Riudoms);1;Riera de Riudoms;3380;3214;6594
DROS;ROSSELLÓ;251898;Rosselló;Segrià;Lleida;El Segre;Agència Catalana de l'Aigua;SIM RUBATEC, S.A.-M. Y J. GRUAS, S.A. UTE;1993;2006;Biològic amb eliminació de Fòsfor;800,00;4000;0;0;1,12;0;0,00;ROSSELLÓ;1;CLAMOR DE LA TOSA;1602;1543;3145
DRPA;RUPIÀ;171539;Rupià;Baix Empordà;Girona;El Ter;Agència Catalana de l'Aigua;UTE PSARU TER-DARÓ (ACSA AGBAR CONSTRUCCIÓN, SA.-SOREA, SA.-CONST. DE CALAF, SA);2012;NA;Biològic amb eliminació de Nitrogen i Fòsfor;136,00;567;0;0;0,63;0;0,00;RUPIÀ ( Rupià);1;riera de Rupià;138;134;272
DSDP;SALÀS DE PALLARS;251902;Salàs de Pallars;Pallars Jussà;Lleida;La Noguera Pallaresa;Consell Comarcal del Pallars Jussà;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2011;NA;Biològic;197,00;938;0;0;2,03;0;0,00;SALÀS DE PALLARS;1;barranc de Sant Pere;174;146;320
DSCR;SANT CARLES DE LA RÀPITA;431362;Sant Carles de la Ràpita;Montsià;Tarragona;Rieres de la costa entre l'Ametlla i Alcanar;Consell Comarcal del Montsià;ACCIONA AGUA, S.A.U.;1996;2008;Biològic amb eliminació de Nitrogen i Fòsfor i amb tractament Terciari;6310,00;28921;0;1;2,98;0;0,00;SANT CARLES DE LA RÀPITA (St. Carles de la Ràpita);1;Badia dels Alfacs / Mar Mediterrani;7238;7551;14789
DCRCC;SANT CORNELI DE CERCS;082687;Cercs;Berguedà;Barcelona;El Llobregat;Consell Comarcal del Berguedà;AQUAMBIENTE SERVICIOS PARA EL SECTOR DEL AGUA SAU;2009;NA;Biològic;50,00;275;0;0;0,10;0;0,00;SANT CORNELI DE CERCS (Cercs);1;Torrent de Sant Romà;577;568;1145
DSFC;SANT FELIU DE CODINES;082107;Sant Feliu de Codines;Vallès Oriental;Barcelona;El Besòs;Consorci Besòs Tordera;AQUAMBIENTE SERVICIOS PARA EL SECTOR DEL AGUA SAU;1995;NA;Biològic amb eliminació de Nitrogen;2900,00;12083;0;2;4,00;0;0,00;SANT FELIU DE CODINES;1;Riera de Villar (riu Tenes);3168;3091;6259
DSFS;SANT FELIU SASSERRA;082129;Sant Feliu Sasserra;Bages;Barcelona;El Llobregat;Agència Catalana de l'Aigua;UTE PSARU LLOBREGAT NORD (OMS SACEDE, SAU-CESMED AMBIENTAL, SL);2015;NA;Biològic;340,00;1983;0;0;0,86;0;0,00;SANT FELIU SASSERRA;1;Torrent de Llobartera;312;290;602
DSGR;SANT GREGORI;171637;Sant Gregori;Gironès;Girona;El Ter;Ajuntament Sant Gregori;Ajuntament de Sant Gregori;1988;NA;Llacunatge;240,00;1200;0;0;1,60;0;0,00;SANT GREGORI (Sant Gregori);1;Riera Llèmena;1959;1858;3817
DSGF;SANT GUIM DE FREIXENET;251924;Sant Guim de Freixenet;Segarra;Lleida;El Segre;Ajuntament Sant Guim de Freixenet;AJUNTAMENT DE SANT GUIM;1994;NA;Llacunatge;200,00;1000;0;0;1,37;0;0,00;SANT GUIM DE FREIXENET;1;RIERA DE FREIXENET;538;487;1025
DSHS;SANT HILARI SACALM;171642;Sant Hilari Sacalm;Selva;Girona;El Ter;Ajuntament Sant Hilari Sacalm;SOREA;1992;NA;Llacunatge;2400,00;12000;0;0;1,00;0;0,00;SANT HILARI DE SACALM(Sant Hilari de Sacalm);1;Riera d'Osor;2843;2784;5627
DSJE;SANT JAUME D'ENVEJA;439023;Sant Jaume d'Enveja;Montsià;Tarragona;L'Ebre;Consell Comarcal del Montsià;ACCIONA AGUA, S.A.U.;2016;NA;Biològic;2426,00;2936;0;3;5,07;0;0,00;SANT JAUME D'ENVEJA;1;riu Ebre;1765;1738;3503
DSJA;SANT JOAN DE LES ABADESSES;171674;Sant Joan de les Abadesses;Ripollès;Girona;El Ter;Consell Comarcal del Ripollès;CADAGUA;1995;NA;Biològic;1350,00;6750;0;1;5,00;0;0,00;SANT JOAN DE LES ABADESSES (Sant Joan de les Abadesses);1;Riu Ter;1604;1628;3232
DSJFB;BEGUDÀ;171851;Sant Joan les Fonts;Garrotxa;Girona;El Fluvià;Consell Comarcal de la Garrotxa;AQUAMBIENTE SERVICIOS PARA EL SECTOR DEL AGUA SAU;2006;NA;Biològic amb eliminació de Nitrogen;1300,00;7583;0;2;1,00;0;0,00;SANT JOAN LES FONTS(Begudà);1;Riu Turonell;1541;1465;3006
DSJC;SANT JULIÀ DE CERDANYOLA;089030;Sant Julià de Cerdanyola;Berguedà;Barcelona;El Llobregat;Agència Catalana de l'Aigua;UTE PSARU LLOBREGAT NORD (OMS SACEDE, SAU-CESMED AMBIENTAL, SL);2020;NA;Biològic amb eliminació de Nitrogen i Fòsfor;167,99;840;0;0;0,28;0;0,00;Sant Julià de Cerdanyola;1;Torrent de la Font del Castell;125;103;228
DSLH;SANT LLORENÇ D'HORTONS;082227;Sant Llorenç d'Hortons;Alt Penedès;Barcelona;El Llobregat;Ajuntament Sant Llorenç d'Hortons;SOREA;1985;NA;Biològic;400,00;2000;0;0;1,50;0;0,00;SANT LLORENÇ D'HORTONS (Sant Llorenç d'Hortons);1;Torrent de Can Serra;1226;1187;2413
DSLO;SANT LLORENÇ DE MORUNYS;251116;Guixers;Solsonès;Lleida;El Llobregat;Agència Catalana de l'Aigua;CADAGUA;2000;NA;Biològic amb eliminació de Nitrogen i Fòsfor;624,00;3630;0;0;1,00;0;0,00;SANT LLORENÇ DE MORUNYS (Sant llorenç de Morunys);1;Pantà La Llosa del Cavall;84;50;134
DSLS;SANT LLORENÇ SAVALL;082233;Sant Llorenç Savall;Vallès Occidental;Barcelona;El Besòs;Consorci Besòs Tordera;AQUAMBIENTE SERVICIOS PARA EL SECTOR DEL AGUA SAU;1993;NA;Biològic;900,00;3000;0;0;0,60;0;0,00;SANT LLORENÇ SAVALL (Sant Llorenç Savall);1;Riu Ripoll;1197;1176;2373
DSMS;SANT MARTÍ DE SESGUEIOLES;082286;Sant Martí Sesgueioles;Anoia;Barcelona;El Llobregat;Agència Catalana de l'Aigua;UTE ACSA-SAV-DAM (GRUP IGUALADA);1999;NA;Llacunatge;150,00;550;0;0;0,10;0;0,00;SANT MARTÍ DE SESGUEIOLES (Sant Martí de Sesgueioles);1;Riera de Sant Martí de Sesgeioles;176;167;343
DSMT;SANT MARTÍ DE TOUS;082264;Sant Martí de Tous;Anoia;Barcelona;El Llobregat;Agència Catalana de l'Aigua;UTE ACSA-SAV-DAM (GRUP IGUALADA);2006;NA;Biològic amb eliminació de Nitrogen;240,00;968;0;1;2,50;0;0,00;SANT MARTÍ DE TOUS (Sant Martí de Tous);1;Riera de Tous;637;598;1235
DSMSH;SANT MARTÍ SARROCA (HOSTALETS);082270;Sant Martí Sarroca;Alt Penedès;Barcelona;El Foix;Mancomunitat Penedès-Garraf;Mancomunitat Penedès-Garraf;2010;NA;Biològic;50,00;200;0;0;0,10;0;0,00;SANT MARTÍ SARROCA (Hostalets);1;Riu Foix;1608;1656;3264
DSMF;SANT MIQUEL DE FLUVIÀ;171753;Sant Miquel de Fluvià;Alt Empordà;Girona;El Fluvià;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;1998;NA;Biològic;250,00;1667;0;0;0,00;0;0,00;SANT MIQUEL DE FLUVIÀ(Sant Miquel Fluvià);1;Riu Fluvià;397;367;764
DSPS;SANT PAU DE SEGÚRIES;171772;Sant Pau de Segúries;Ripollès;Girona;El Ter;Consell Comarcal del Ripollès;CADAGUA;1993;NA;Biològic;400,00;2000;0;2;1,50;0;0,00;SANT PAU DE SEGÚRIES (Sant Pau de Segúries);1;Riu Ter;347;350;697
DSPRS;SANT PERE SALLAVINERA;081897;Sant Pere Sallavinera;Anoia;Barcelona;El Llobregat;Agència Catalana de l'Aigua;UTE PSARU LLOBREGAT NORD (OMS SACEDE, SAU-CESMED AMBIENTAL, SL);2013;NA;Biològic;32,00;160;0;0;0,93;0;0,00;SANT PERE SALLAVINERA (Sant Pere Sallavinera);1;riera de Sant Pere;82;70;152
DSQB;SANT QUIRZE DE BESORA;082378;Sant Quirze de Besora;Osona;Barcelona;El Ter;Consell Comarcal d'Osona;Depuradores d'Osona;2016;NA;Biològic;600,00;3500;0;1;0,87;0;0,00;SANT QUIRZE DE BESORA;1;riu Ter;1054;1113;2167
DSSD;SANT SADURNÍ D'ANOIA;082732;Subirats;Alt Penedès;Barcelona;El Llobregat;Mancomunitat Penedès-Garraf;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;1997;NA;Biològic amb eliminació de Nitrogen i Fòsfor;4018,00;45134;0;0;3,00;0;0,00;SANT SADURNÍ D'ANOIA (Sant Sadurní d'Anoia);1;Riu Laverno;1577;1467;3044
DSSG;SANT SALVADOR DE GUARDIOLA;080983;Sant Salvador de Guardiola;Bages;Barcelona;El Llobregat;Mancomunitat de municipis del Bages per al sanejament;AIGÜES DE MANRESA;1997;NA;Biològic amb eliminació de Nitrogen;1000,00;4167;0;0;8,00;0;0,00;SANT SALVADOR DE GUARDIOLA (Sant Salvador de Guardiola);1;Riera de Guardiola;1630;1549;3179
DSBR;SANTA BÀRBARA;431384;Santa Bàrbara;Montsià;Tarragona;L'Ebre;Consell Comarcal del Montsià;ACCIONA AGUA, S.A.U.;1998;NA;Llacunatge;780,00;5200;0;0;0,43;0;0,00;SANTA BARBARA (Sta. Bàrbara);1;Barranc Pelós;1881;1826;3707
DSCQ;SANTA COLOMA DE QUERALT;431397;Santa Coloma de Queralt;Conca de Barberà;Tarragona;El Gaià;Consell Comarcal de la Conca de Barberà;UTE CONCA DE BARBERÀ (DAM-ACCIONA);1993;NA;Biològic;1000,00;4667;0;0;0,80;0;0,00;SANTA COLOMA DE QUERALT (Sta. Coloma de Queralt);1;Riu Gaia;1328;1345;2673
DSEP;SANTA EULÀLIA DE RIUPRIMER;082476;Santa Eulàlia de Riuprimer;Osona;Barcelona;El Ter;Consell Comarcal d'Osona;Depuradores d'Osona;2001;NA;Biològic amb eliminació de Nitrogen i Fòsfor;500,00;2000;0;1;4,20;0;0,00;SANTA EULÀLIA DE RIUPRIMER (Santa Eulàlia de Riuprimer);1;Riu Meder;686;659;1345
DSMOR;ROVIROLA, LA;082589;Santa Maria d'Oló;Moianès;Barcelona;El Llobregat;Mancomunitat de municipis del Bages per al sanejament;AIGÜES DE MANRESA;2005;NA;Biològic;20,00;80;0;0;0,00;1;0,47;Santa Maria d'Oló;1;Rasa del Corral;521;504;1025
DSMB;SANTA MARIA DE BESORA;082536;Santa Maria de Besora;Osona;Barcelona;El Ter;Consell Comarcal d'Osona;Depuradores d'Osona;2011;NA;Biològic;100,20;418;0;0;0,38;0;0,00;SANTA MARIA DE BESORA;1;Torrent innominat_ Riu Ter;78;72;150
DSAP;SANTA PAU;171848;Santa Pau;Garrotxa;Girona;El Fluvià;Consell Comarcal de la Garrotxa;AQUAMBIENTE SERVICIOS PARA EL SECTOR DEL AGUA SAU;1998;NA;Biològic;300,00;1900;0;1;1,00;0;0,00;SANTA PAU;1;Riu Ser;792;773;1565
DSEC;SECUITA, LA;431444;Secuita, la;Tarragonès;Tarragona;El Francolí;Ajuntament Secuita, La;EMATSA;1986;NA;Biològic;150,00;650;0;0;0,50;0;0,00;SECUITA, LA (Secuita, La);1;Riu Francolí;851;836;1687
DSNN;SENAN;431460;Senan;Conca de Barberà;Tarragona;El Segre;Consell Comarcal de la Conca de Barberà;UTE CONCA DE BARBERÀ (DAM-ACCIONA);2009;NA;Biològic;22,50;150;0;0;0,05;0;0,00;SENAN (Senan);1;Fondalada dels pouets (infiltració subsòl);33;15;48
DSEN;SÉNIA, LA;430445;Sénia, la;Montsià;Tarragona;La Sènia;Consell Comarcal del Montsià;ACCIONA AGUA, S.A.U.;1996;2008;Biològic;1500,00;8750;0;0;2,40;0;0,00;SENIA, LA (Sènia, La, Els Plans);1;Riu Sènia;2844;2837;5681
DSNT;SENTERADA;252022;Senterada;Pallars Jussà;Lleida;La Noguera Pallaresa;Consell Comarcal del Pallars Jussà;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2012;NA;Biològic;100,00;500;0;1;1,17;0;0,00;SENTERADA (Senterada);1;riu Flamisell;80;57;137
DSENC;CAN CANYAMERES;082671;Sentmenat;Vallès Occidental;Barcelona;El Besòs;Consorci Besòs Tordera;AQUAMBIENTE SERVICIOS PARA EL SECTOR DEL AGUA SAU;2011;NA;Biològic;152,00;800;0;0;NA;0;0,00;SENTMENAT (Can Canyameres);1;Torrent de Can Canyameres;4611;4467;9078
DSERY;SERINYÀ;171903;Serinyà;Pla de l'Estany;Girona;El Fluvià;Consell Comarcal del Pla de l'Estany;REMONDIS AGUA, S.A.U;1997;NA;Biològic;220,00;880;0;0;0,16;0;0,00;SERINYÀ(Serinyà);1;Serinyadell;576;560;1136
DSDD;SERRA DE DARÓ;171910;Serra de Daró;Baix Empordà;Girona;El Daró;Agència Catalana de l'Aigua;UTE PSARU TER-DARÓ (ACSA AGBAR CONSTRUCCIÓN, SA.-SOREA, SA.-CONST. DE CALAF, SA);2012;NA;Biològic amb eliminació de Nitrogen i Fòsfor;341,60;1423;0;0;0,28;0;0,00;SERRA DE DARÓ (Serra de Daró);1;riera Grossa;122;99;221
DSETC;SETCASES;171925;Setcases;Ripollès;Girona;El Ter;Consell Comarcal del Ripollès;CADAGUA;2003;NA;Tractament adequat;900,00;2250;0;0;0,70;0;0,00;SETCASES (Setcases);1;Riu Ter;98;79;177
DSEV;SEVA;082690;Seva;Osona;Barcelona;El Ter;Consell Comarcal d'Osona;Depuradores d'Osona;1980;NA;Biològic;700,00;2858;0;1;2,43;0;0,00;SEVA (Seva);1;Rec de Can Cuixa;1784;1735;3519
DSLV;SOLIVELLA;431476;Solivella;Conca de Barberà;Tarragona;El Francolí;Consell Comarcal de la Conca de Barberà;UTE CONCA DE BARBERÀ (DAM-ACCIONA);2011;NA;Biològic amb eliminació de Nitrogen;300,00;2462;0;0;0,55;0;0,00;SOLIVELLA;1;Rasa del Molí;333;300;633
DSUBP;SANT PAU D'ORDAL;082732;Subirats;Alt Penedès;Barcelona;El Llobregat;Mancomunitat Penedès-Garraf;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;1997;NA;Biològic;140,00;867;0;0;0,50;0;0,00;SUBIRATS (Sant Pau d'Ordal);1;Torrent de St. Pau;1577;1467;3044
DSUR;SÚRIA;082747;Súria;Bages;Barcelona;El Llobregat;Ajuntament Súria;SOCIEDAD GENERAL DE AGUAS DE BARCELONA, SA;1995;NA;Biològic;1705,00;15089;0;1;3,40;0;0,00;SÚRIA (Súria);1;Riu Cardener;2897;3045;5942
DTLC;TALAMANCA;082779;Talamanca;Bages;Barcelona;El Llobregat;Agència Catalana de l'Aigua;UTE PSARU LLOBREGAT NORD (OMS SACEDE, SAU-CESMED AMBIENTAL, SL);2017;NA;Biològic;200,40;1142;0;1;0,78;0;0,00;TALAMANCA;1;Torrent del Güell;115;91;206
DTAL;TARADELL;082785;Taradell;Osona;Barcelona;El Ter;Consell Comarcal d'Osona;Depuradores d'Osona;1993;NA;Biològic amb eliminació de Nitrogen i Fòsfor;2000,00;11667;0;3;8,30;0;0,00;TARADELL (Taradell);1;Riera de Taradell;3238;3251;6489
DTRG;TÀRREGA;252173;Tàrrega;Urgell;Lleida;El Segre;Ajuntament Tàrrega;SOCIEDAD GENERAL DE AGUAS DE BARCELONA, SA;1993;2010;Biològic amb eliminació de Nitrogen i Fòsfor;6800,00;39667;0;1;5,00;0;0,00;TÀRREGA;1;RIU ONDARA;8489;8609;17098
DTRE;TARRÉS;252189;Tarrés;Garrigues;Lleida;El Francolí;Ajuntament Tarrés;AJUNTAMENT TARRÉS;2016;NA;Biològic;30,00;200;0;0;0,00;0;0,00;TARRÉS;1;Infiltració en el terreny;56;50;106
DTVR;TAVÈRNOLES;082750;Tavèrnoles;Osona;Barcelona;El Ter;Consell Comarcal d'Osona;Depuradores d'Osona;2001;NA;Biològic;80,00;175;0;1;0,70;0;0,00;TAVÈRNOLES (Tavèrnoles);1;Riera de Tavèrnoles;159;157;316
DTAV;TAVERTET;082802;Tavertet;Osona;Barcelona;El Ter;Consell Comarcal d'Osona;Depuradores d'Osona;2010;NA;Biològic;84,00;420;0;0;0,31;0;0,00;TAVERTET;1;Torrent Balà;57;54;111
DTIR;TÍRVIA;252213;Tírvia;Pallars Sobirà;Lleida;La Noguera Pallaresa;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2011;NA;Biològic;120,00;600;0;2;1,35;0;0,00;TÍRVIA;1;barranc dels Rucs;63;68;131
DTIV2;TIVENYS;431495;Tivenys;Baix Ebre;Tarragona;L'Ebre;Consell Comarcal del Baix Ebre;ACCIONA AGUA, S.A.U.;2017;NA;Biològic;150,00;1250;0;2;1,69;0;0,00;Tivenys;1;Barranc de la Valljardina;458;441;899
DTON;TONA;082830;Tona;Osona;Barcelona;El Ter;Consell Comarcal d'Osona;Depuradores d'Osona;1993;NA;Biològic;2160,00;8632;0;0;1,83;0;0,00;TONA (Tona);1;Riera de Tona;4099;4142;8241
DTFB;TORRE DE FONTAUBELLA;431515;Torre de Fontaubella, la;Priorat;Tarragona;L'Ebre;Agència Catalana de l'Aigua;SERVEIS INTEGRALS DE MANTENIMENT RUBATEC, SA;2016;NA;Biològic;25,00;179;0;0;0,38;0;0,00;TORRE DE FONTAUBELLA;1;riera de la Torre de Fontaubella;68;70;138
DLTE;TORRE DE L'ESPANYOL, LA;431520;Torre de l'Espanyol, la;Ribera d'Ebre;Tarragona;L'Ebre;Agència Catalana de l'Aigua;SERVEIS INTEGRALS DE MANTENIMENT RUBATEC, SA;2008;NA;Biològic amb eliminació de Nitrogen;135,00;1429;0;0;NA;0;0,00;TORRE DE L'ESPANYOL (Torre de l'Espanyol);1;Barranc de la Torre;311;300;611
DTLM;TORRELAMEU;252311;Torrelameu;Noguera;Lleida;La Noguera Ribagorçana;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2011;NA;Biològic;202,00;1010;0;0;0,46;0;0,00;TORRELAMEU;1;desguàs de reg - riu Noguera Ribagorçana;433;310;743
DTOS;TOSSA DE MAR;172023;Tossa de Mar;Selva;Girona;Rieres de la costa entre la frontera amb França i Lloret de Mar;Consorci d'Aigües Costa Brava Girona;SOCIEDAD GENERAL DE AGUAS DE BARCELONA, SA;1980;NA;Biològic amb tractament Terciari;4500,00;43100;0;3;5,30;0;0,00;TOSSA DE MAR;1;Mar Mediterrani;2861;2822;5683
DTRP;TREMP;252347;Tremp;Pallars Jussà;Lleida;La Noguera Pallaresa;Consell Comarcal del Pallars Jussà;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;1995;NA;Biològic amb eliminació de Nitrogen i Fòsfor;1680,00;8400;0;1;5,17;0;0,00;TREMP, TALARN;1;NOGUERA PALLARESA;2884;2960;5844
DUTT2;ULLASTRET;172057;Ullastret;Baix Empordà;Girona;El Daró;Agència Catalana de l'Aigua;UTE PSARU TER-DARÓ (ACSA AGBAR CONSTRUCCIÓN, SA.-SOREA, SA.-CONST. DE CALAF, SA);2012;NA;Biològic;88,00;513;0;2;0,85;0;0,00;ULLASTRET;1;torrent innominat;140;150;290
DULL;ULLDECONA;431567;Ulldecona;Montsià;Tarragona;La Sènia;Consell Comarcal del Montsià;ACCIONA AGUA, S.A.U.;1996;NA;Llacunatge;1620,00;13500;0;0;2,70;0;0,00;ULLDECONA (Ulldecona);1;Riu Sènia;3286;3014;6300
DULD;ULLDEMOLINS;431573;Ulldemolins;Priorat;Tarragona;L'Ebre;Agència Catalana de l'Aigua;SERVEIS INTEGRALS DE MANTENIMENT RUBATEC, SA;2016;NA;Biològic amb eliminació de Nitrogen i Fòsfor;550,00;3208;0;2;1,39;0;0,00;ULLDEMOLINS;1;Riu Prades;229;167;396
DVDR;VALLFOGONA DE RIPOLLÈS;171707;Vallfogona de Ripollès;Ripollès;Girona;El Ter;Agència Catalana de l'Aigua;UTE PSARU TER-DARÓ (ACSA AGBAR CONSTRUCCIÓN, SA.-SOREA, SA.-CONST. DE CALAF, SA);2012;NA;Biològic;74,00;493;0;0;0,52;0;0,00;VALLFOGONA DE RIPOLLÈS (Vallfogona del Ripollès);1;riera de Vallfogona;109;97;206
DVRNF;MAS LES FONTS;082956;Vallirana;Baix Llobregat;Barcelona;El Llobregat;Ajuntament Vallirana;SOCIEDAD GENERAL DE AGUAS DE BARCELONA, SA;2012;NA;Biològic;75,00;500;0;0;NA;0;0,00;Vallirana;1;Torrent Fondo de les Fonts;7523;7483;15006
DVAN;VANDELLÒS;431628;Vandellòs i l'Hospitalet de l'Infant;Baix Camp;Tarragona;Rieres de la costa entre Cunit i Vandellòs i l'Hospitalet de l'Infant;Consell Comarcal del Baix Camp;COMAIGUA, SL;2003;NA;Biològic;175,00;729;0;0;1,02;0;0,00;VANDELLÓS (Vandellós);1;Riu Llastres;3246;3236;6482
DVERD;VERDÚ;252424;Verdú;Urgell;Lleida;El Segre;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2001;NA;Llacunatge;400,00;2000;3;0;3,28;0;0,00;VERDÚ;1;EL CERCAVINS;441;478;919
DVID;VIDRÀ;172121;Vidrà;Osona;Girona;El Ter;Consell Comarcal d'Osona;Depuradores d'Osona;1999;NA;Biològic;188,00;752;0;0;0,38;0;0,00;VIDRÀ (Vidrà);1;Riu Ges;83;84;167
DVLD;VILADRAU;172207;Viladrau;Osona;Girona;El Ter;Consell Comarcal d'Osona;Depuradores d'Osona;2000;NA;Biològic;1312,00;3499;0;1;4,50;0;0,00;VILADRAU (Viladrau);1;Riera Major;509;531;1040
DVJG;VILAJUÏGA;172235;Vilajuïga;Alt Empordà;Girona;La Muga;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2005;NA;Llacunatge;356,00;1454;0;0;0,10;0;0,00;VILAJUÏGA(Vilajuïga);1;Riera Vilajuïga;549;555;1104
DVIL;VILALBA DELS ARCS;431750;Vilalba dels Arcs;Terra Alta;Tarragona;L'Ebre;Agència Catalana de l'Aigua;SERVEIS INTEGRALS DE MANTENIMENT RUBATEC, SA;2008;NA;Biològic amb eliminació de Nitrogen;80,00;840;0;0;0,32;0;0,00;VILALBA DELS ARCS (Vilalba dels Arcs);1;Vall de vinyes;318;307;625
DVLL;VILALLER;252458;Vilaller;Alta Ribagorça;Lleida;La Noguera Ribagorçana;Agència Catalana de l'Aigua;CADAGUA;2011;NA;Biològic amb eliminació de Nitrogen i Fòsfor;360,00;1800;0;2;2,50;0;0,00;VILALLER;1;riu Noguera Ribagorçana;294;267;561
DVLLS;SENET;252458;Vilaller;Alta Ribagorça;Lleida;La Noguera Ribagorçana;Agència Catalana de l'Aigua;CADAGUA;2010;NA;Biològic;80,00;400;0;0;0,95;0;0,00;VILALLER (Senet);1;RIU NOGUERA RIBAGORÇANA;294;267;561
DVDT;VILALLONGA DE TER;172240;Vilallonga de Ter;Ripollès;Girona;El Ter;Agència Catalana de l'Aigua;UTE PSARU TER-DARÓ (ACSA AGBAR CONSTRUCCIÓN, SA.-SOREA, SA.-CONST. DE CALAF, SA);2013;NA;Biològic amb eliminació de Nitrogen;301,00;1254;0;0;0,22;0;0,00;VILALLONGA DE TER;1;riu Ter;212;186;398
DVPNA;VILAPLANA;431690;Vilaplana;Baix Camp;Tarragona;Rieres de la costa entre Cunit i Vandellòs i l'Hospitalet de l'Infant;Consell Comarcal del Baix Camp;COMAIGUA, SL;2002;NA;Llacunatge;120,00;577;0;3;0,37;0;0,00;VILAPLANA (Vilaplana);1;Riu la Mussara;302;272;574
DVDO;VILOBÍ D'ONYAR;172333;Vilobí d'Onyar;Selva;Girona;El Ter;Consell Comarcal de la Selva;ACCIONA AGUA, S.A.U.;1997;NA;Biològic;619,00;3611;0;0;0,20;0;0,00;VILOBÍ D'ONYAR;1;Riu Onyar;1711;1580;3291
DVIN;VINEBRE;431779;Vinebre;Ribera d'Ebre;Tarragona;L'Ebre;Agència Catalana de l'Aigua;SERVEIS INTEGRALS DE MANTENIMENT RUBATEC, SA;2008;NA;Biològic amb eliminació de Nitrogen;150,00;475;0;1;0,28;0;0,00;VINEBRE (Vinebre);1;Riu Ebre;221;207;428
